date,open,high,low,close,volume
2024-11-25 09:15:00,22500,22510,22495,22505,10000
2024-11-25 09:20:00,22505,22520,22500,22518,12000
2024-11-25 09:25:00,22518,22530,22515,22525,11000
2024-11-25 09:30:00,22525,22550,22520,22548,15000
2024-11-25 09:35:00,22548,22560,22545,22555,13000
2024-11-25 09:40:00,22555,22558,22540,22542,14000
2024-11-25 09:45:00,22542,22555,22535,22550,12000
2024-11-25 09:50:00,22550,22565,22548,22562,16000
2024-11-25 09:55:00,22562,22580,22560,22578,18000
2024-11-25 10:00:00,22578,22600,22575,22595,20000
2024-11-25 10:05:00,22595,22610,22590,22605,17000
2024-11-25 10:10:00,22605,22608,22595,22600,15000
2024-11-25 10:15:00,22600,22590,22570,22575,22000
2024-11-25 10:20:00,22575,22580,22565,22570,19000
2024-11-25 10:25:00,22570,22560,22540,22545,25000
2024-11-25 10:30:00,22545,22550,22530,22535,23000
2024-11-25 10:35:00,22535,22545,22525,22540,21000
2024-11-25 10:40:00,22540,22555,22538,22552,18000
2024-11-25 10:45:00,22552,22570,22550,22568,20000
2024-11-25 10:50:00,22568,22585,22565,22582,22000
2024-11-25 10:55:00,22582,22600,22580,22598,24000
2024-11-25 11:00:00,22598,22615,22595,22610,26000
2024-11-25 11:05:00,22610,22625,22608,22622,23000
2024-11-25 11:10:00,22622,22630,22618,22628,21000
2024-11-25 11:15:00,22628,22625,22605,22610,28000
2024-11-25 11:20:00,22610,22615,22600,22608,25000
2024-11-25 11:25:00,22608,22600,22580,22585,30000
2024-11-25 11:30:00,22585,22590,22575,22580,27000
2024-11-25 11:35:00,22580,22595,22578,22592,24000
2024-11-25 11:40:00,22592,22610,22590,22608,26000
2024-11-25 11:45:00,22608,22620,22605,22618,28000
2024-11-25 11:50:00,22618,22635,22615,22632,30000
2024-11-25 11:55:00,22632,22650,22630,22648,32000
2024-11-25 12:00:00,22648,22660,22645,22655,35000
2024-11-25 12:05:00,22655,22658,22640,22642,33000
2024-11-25 12:10:00,22642,22635,22615,22620,40000
2024-11-25 12:15:00,22620,22625,22610,22615,38000
2024-11-25 12:20:00,22615,22605,22585,22590,42000
2024-11-25 12:25:00,22590,22595,22580,22588,39000
2024-11-25 12:30:00,22588,22600,22585,22598,37000
2024-11-25 12:35:00,22598,22615,22595,22612,35000
2024-11-25 12:40:00,22612,22630,22610,22628,38000
2024-11-25 12:45:00,22628,22640,22625,22638,40000
2024-11-25 12:50:00,22638,22655,22635,22652,42000
2024-11-25 12:55:00,22652,22670,22650,22668,45000
2024-11-25 13:00:00,22668,22680,22665,22675,48000
2024-11-25 13:05:00,22675,22800,22675,22790,60000
